CT,Total,Aboriginal,North American ,European,Carribean,Latin,African,Oceania,Middle Eastern,South Asian,East Asian,Other Asian
0344.02,3450,40,400,910,460,60,430,0,175,715,725,0
0345.00,3665,20,225,1530,110,130,175,0,50,980,885,0
0346.01,4835,70,630,1485,315,255,210,0,70,1330,1250,15
0346.02,5095,95,650,1435,700,340,390,0,75,945,1690,40
0347.00,2465,65,325,930,200,145,230,0,65,375,855,60
0348.00,4805,80,795,2885,210,100,140,0,25,770,990,0
0349.00,5645,70,795,2235,680,325,135,0,395,885,1350,0
0350.00,5415,60,705,3035,115,55,110,0,240,895,1045,0
0351.01,5265,55,540,1655,360,220,170,0,265,1650,920,10
0351.02,2710,45,270,1195,190,85,75,0,50,485,925,0
0352.00,5390,45,810,1575,200,185,160,0,235,1785,1175,20
0353.02,5140,60,460,1855,205,245,265,0,355,1385,1100,0
0353.03,3190,0,245,570,155,65,100,0,65,1445,785,0
0353.04,4460,50,430,1455,290,230,205,0,85,1710,760,0
0354.00,4835,30,480,2040,215,190,200,0,90,1430,980,0
0355.02,5365,45,625,1635,970,270,340,0,45,1625,925,0
0355.03,4550,15,810,1370,760,405,690,0,325,740,390,10
0355.04,4955,35,705,1075,530,155,285,0,190,1415,1055,20
0356.00,4480,65,675,2060,215,140,150,0,135,985,900,0
0357.01,7265,50,555,1305,400,220,270,0,280,4385,345,65
0357.02,4880,75,535,1310,830,130,535,0,290,1755,230,25
0358.01,3320,275,515,1610,435,145,70,0,80,545,230,40
0358.02,4710,330,745,1755,885,235,380,0,90,825,660,90
0358.03,5420,200,675,1800,1060,330,830,0,175,695,735,55
0359.00,7035,100,1010,2540,1360,370,655,0,345,1520,995,90
0360.00,5770,140,830,3020,665,365,105,0,145,985,895,0
0361.01,5860,110,1100,3845,270,65,140,40,225,710,585,0
0361.02,7210,135,1225,4195,355,155,260,40,335,1245,1260,20
0362.01,6235,65,970,2130,1090,170,570,0,200,1595,1175,0
0362.02,5825,70,570,1820,580,370,215,0,285,1990,995,0
0362.03,7055,105,530,2030,910,425,465,0,120,2485,1450,0
0362.04,4865,35,590,1470,1290,280,390,0,70,1220,690,10
0363.02,3255,25,530,1415,515,275,90,0,95,455,635,0
0363.04,3595,30,300,910,325,60,240,55,30,1355,820,0
0363.05,4585,15,430,795,835,290,410,0,100,1970,625,25
0363.06,6655,75,350,1350,305,210,255,0,310,1425,3285,55
0363.07,5470,0,340,985,350,140,85,0,240,3395,315,170
0364.01,5900,85,665,2265,695,205,320,0,330,1540,1035,45
0364.02,2850,35,345,1040,290,135,75,0,35,695,680,0
0365.00,6765,70,705,2080,435,320,110,50,70,3240,710,0
0366.00,6125,70,705,2445,405,185,285,30,160,1870,1005,105
0367.01,4885,35,320,995,195,105,235,0,385,2920,145,15
0367.02,3620,50,505,1815,100,190,110,0,0,595,885,0
0368.01,5515,30,310,850,180,90,60,0,145,905,3480,15
0368.02,4030,40,695,1845,130,120,200,0,165,775,1010,20
